parentGeographicTypeId,temporalTypeId,temporal,temporalDescription,temporalColumnName,temporalRollingColumnName,temporalId,minimumTemporal,minimumTemporalId,parentTemporalTypeId,parentTemporalType,parentTemporal,parentTemporalId,parentMinimumTemporalId,parentMinimumTemporal,year,dataValue,descriptiveValue,descriptiveValueName,includeDescriptiveValueName,COUNT,OBJECTID,FIPS,COUNTY,NAME
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.092,,,,0.092,99419,55061,Kewaunee,Kewaunee
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.124,,,,0.124,67173,55061,Kewaunee,Kewaunee
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.077,,,,0.077,69143,55061,Kewaunee,Kewaunee
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.761,,,,0.761,104229,55063,La Crosse,La Crosse
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.581,,,,0.581,90599,55063,La Crosse,La Crosse
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.554,,,,0.554,109481,55063,La Crosse,La Crosse
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.663,,,,0.663,63716,55063,La Crosse,La Crosse
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.664,,,,0.664,69203,55063,La Crosse,La Crosse
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.064,,,,0.064,81744,55065,Lafayette,Lafayette
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.078,,,,0.078,90659,55065,Lafayette,Lafayette
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.097,,,,0.097,99479,55065,Lafayette,Lafayette
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.111,,,,0.111,85682,55065,Lafayette,Lafayette
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.129,,,,0.129,55628,55065,Lafayette,Lafayette
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.626,,,,0.626,81804,55067,Langlade,Langlade
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.612,,,,0.612,90719,55067,Langlade,Langlade
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.316,,,,0.316,99539,55067,Langlade,Langlade
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.267,,,,0.267,85742,55067,Langlade,Langlade
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.174,,,,0.174,55688,55067,Langlade,Langlade
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.514,,,,0.514,81864,55069,Lincoln,Lincoln
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.327,,,,0.327,90779,55069,Lincoln,Lincoln
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.342,,,,0.342,99599,55069,Lincoln,Lincoln
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.308,,,,0.308,85802,55069,Lincoln,Lincoln
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.325,,,,0.325,55748,55069,Lincoln,Lincoln
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.234,,,,0.234,81924,55071,Manitowoc,Manitowoc
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.233,,,,0.233,90839,55071,Manitowoc,Manitowoc
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.272,,,,0.272,99659,55071,Manitowoc,Manitowoc
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.243,,,,0.243,85862,55071,Manitowoc,Manitowoc
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.256,,,,0.256,55808,55071,Manitowoc,Manitowoc
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.284,,,,0.284,70673,55073,Marathon,Marathon
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.188,,,,0.188,90899,55073,Marathon,Marathon
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.243,,,,0.243,99719,55073,Marathon,Marathon
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.272,,,,0.272,85922,55073,Marathon,Marathon
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.319,,,,0.319,55868,55073,Marathon,Marathon
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.484,,,,0.484,70733,55075,Marinette,Marinette
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.491,,,,0.491,90959,55075,Marinette,Marinette
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.516,,,,0.516,99779,55075,Marinette,Marinette
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.420,,,,0.42,85982,55075,Marinette,Marinette
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.652,,,,0.652,55928,55075,Marinette,Marinette
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.066,,,,0.066,70793,55077,Marquette,Marquette
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.111,,,,0.111,91019,55077,Marquette,Marquette
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.192,,,,0.192,99839,55077,Marquette,Marquette
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.217,,,,0.217,86042,55077,Marquette,Marquette
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.172,,,,0.172,55988,55077,Marquette,Marquette
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.591,,,,0.591,70853,55078,Menominee,Menominee
